code accident,date,heure,département,commune,massif,region,massif_unique,site,"coordonnées
 zone départ",altitude,inclinaison,orientation,groupe,emportés,"ensevelis 
 tête",décédés,blessées,indemnes,activité,activite_regrouped,évolution,BRA,"qualité 
 neige","cohésion
 neige","type 
 départ",cause départ,"dénivelé
 (mètres)","largeur 
 cassure
 (mètres)","épaisseur
 cassure max. 
 (cm)"
1112-05-01,2011-12-10,14:40,5,puy st vincent,pelvoux,alps,Pelvoux,vallon de narreyroux,,2600,<30,NE,2,1,1,1,0,0,randonnée,hiking,,,sèche,tendre,linéaire,accidentelle soi-même,,25,30
1415-74-06,2015-02-08,11:55,74,cordon,aravis,alps,Aravis,croise baulet couloir nant d'enfer,32T309541/5085482,1930,30-34,O,2,1,0,0,0,1,randonnée,hiking,descente,2,humide,dure,linéaire,accidentelle soi-même,410,20,30
1314-74-06,2014-01-05,17:30,74,les houches,mont blanc,alps,Mont-Blanc,couloir vogealle,32T0329674 / 5087618,2175,35-39,NO,2,1,0,0,0,1,randonnée,hiking,descente,3,sèche,dure,linéaire,accidentelle soi-même,400,20,80
1011-74-03,2010-12-21,13:20,74,chamonix,chablais,alps,Chablais,combe d'encrenaz,32t0338270 5096477,2300,40-44,SE,3,1,1,0,0,1,randonnée,hiking,,3,sèche,dure,linéaire,accidentelle soi-même,400,20,40
1314-73-30,2014-02-09,14:50,73,saint jean de belleville,vanoise,alps,Vanoise,point 2482 combe pierreux,"45,415449N/6,425394S",2400,40-44,NE,4,1,0,0,0,0,randonnée,hiking,descente,3,sèche,tendre,linéaire,accidentelle soi-même,350,20,30
1617-73-07,2017-01-28,16:17,73,montricher albane,maurienne,alps,Maurienne,combe des sallanches,"45°11'4.94"" / 6°23""21.14""",2460,35-39,NE,2,1,0,0,0,1,randonnée,hiking,descente,3,sèche,,linéaire,accidentelle tiers,220,20,40
1112-74-06,2012-02-21,10:00,74,bellevaux,chablais,alps,Chablais,pointe de chalune,32t 031303 5116923,2050,40-44,O,2,2,0,0,0,0,randonnée,hiking,,3,sèche,tendre,linéaire,accidentelle soi-même,200,20,50
1011-73-22,2011-01-10,,73,tignes,haute tarentaise,alps,Hte-tarent,couloir des tuffs,,2400,35-39,O,4,1,0,0,1,0,hors-piste,"off-piste (ski, snowboard)",,3,sèche,tendre,linéaire,accidentelle tiers,200,20,20
1314-73-29,2014-03-02,15:00,73,bonneval sur arc,haute maurienne,alps,Hte-maurie,,,2900,35-39,N,2,1,0,0,0,0,hors-piste,"off-piste (ski, snowboard)",,3,sèche,tendre,linéaire,accidentelle soi-même,180,20,60
1617-68-01,2017-02-12,13:45,68,stosswhir,hohneck,other,other,couloir en Y,"48°02'27"" / 7°00'47""",1300,>45,N,4,2,0,0,0,0,alpinisme,alpinisme,montée,,humide,dure,linéaire,accidentelle soi-même,120,20,40
1213-73-11,2013-02-20,10:00,73,valloire,maurienne,alps,Maurienne,camp des rochilles,,2510,30-34,O,22,2,1,1,0,1,entrainement militaire descente couloir,other,,,sèche,dure,linéaire,accidentelle soi-même,110,20,60
1314-74-01,2013-11-11,16:55,74,les contamines,mont blanc,alps,Mont-Blanc,aiguille croche,,2300,30-34,SE,1,1,0,0,0,1,randonnée,hiking,descente,,sèche,,linéaire,accidentelle soi-même,100,20,
1011-74-01,2010-11-28,12:00,74,mieussy,chablais,alps,Chablais,haute-pointe,,1950,40-44,SE,15,2,2,0,0,2,randonnée,hiking,,,sèche,tendre,linéaire,accidentelle soi-même,100,20,10
1516-74-09,2016-02-27,13:45,74,sixt fer à cheval,chablais,alps,Chablais,couloir du lion,32T 0331591 / 5098664,1750,35-39,SE,1,1,0,0,0,1,randonnée,hiking,montée,3,sèche,tendre,linéaire,naturelle,100,20,200
1213-73-12,2013-02-26,16:40,73,pralognan,vanoise,alps,Vanoise,cirque du petit arcellin,45°23.017'' 6°45.689'',2100,30-34,NO,1,1,0,0,0,1,randonnée,hiking,traversée,3,sèche,tendre,linéaire,accidentelle soi-même,80,20,20
1112-05-02,2012-03-10,11:25,5,ristolas,queyras,alps,Queyras,pic de ségur,"44°44'.28.6"" 6°58'04.1""",2770,30-34,NO,6,1,0,0,0,0,randonnée,hiking,,3,sèche,tendre,linéaire,accidentelle soi-même,80,20,50
1415-74-04,2015-01-31,12:30,74,chamonix,mont blanc,alps,Mont-Blanc,pré du rocher,32T336030 / 5085683,2190,30-34,NO,3,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",descente,4,sèche,tendre,linéaire,accidentelle soi-même,70,20,40
1718-73-14,2018-03-01,09:05,73,pralognan la vanoise,vanoise,alps,Vanoise,couloir de l'eau,"45°23'9"" / 6°44'57""",1890,30-34,SO,2,1,0,0,0,0,minage,other,arrêt,2,sèche,dure,linéaire,accidentelle soi-même,60,20,15
1415-73-17,2015-03-29,11:45,73,bonneval sur arc,haute maurienne,alps,Hte-maurie,col du montet,"45°25'57.7"" // 7°05'37.8""",3200,40-44,S,9,5,2,1,1,2,randonnée,hiking,,2,sèche,tendre,linéaire,accidentelle soi-même,60,20,
1314-15-01,2014-03-29,14:00,15,la vigerie,lioran,other,other,puy bataillouse,45°06'05.75 / 2°43'21.83,1540,40-44,N,1,1,0,0,0,1,randonnée,hiking,montée,,humide,dure,linéaire,accidentelle soi-même,50,20,25
1415-74-02,2015-01-21,12:00,74,chamonix,mont blanc,alps,Mont-Blanc,couloir requiin,,2450,40-44,NE,7,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,tendre,linéaire,accidentelle soi-même,50,20,
1718-73-10,2018-02-05,13:35,73,pralognan la vanoise,vanoise,alps,Vanoise,couloir de l'eau,"45°23'9"" / 6°44'59""",1890,30-34,SO,4,1,1,1,0,0,minage,other,arrêt,2,sèche,tendre,linéaire,accidentelle soi-même,30,20,15
1112-65-01,2012-02-18,,65,bagnère de bigorre,haute bigorre,pyrenees,hte-bigo,pain de sucre,,,,,1,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",,3,sèche,,linéaire,accidentelle soi-même,,20,
1415-05-03,2015-01-21,09:55,5,puy saint vincent,pelvoux,alps,Pelvoux,couloir des faveyrettes,"44°48'37.1"" / 6°27'30.5""",2350,35-39,NO,2,2,1,0,1,1,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,dure,linéaire,accidentelle soi-même,400,15,100
1415-09-02,2015-03-03,15:00,9,l'hospitalet pres l'andorre,haute ariege,pyrenees,hte-ariege,roc de carroux / voie RN 320,"42°34'49.1"" / 1°47'06.4""",1900,40-44,SE,2,2,0,0,0,0,voie de communication,other,traversée,3,humide,dure,linéaire,naturelle,350,15,150
1213-74-01,2012-10-30,11:55,74,chamonix,mont blanc,alps,Mont-Blanc,aiguille marbrée,32T0340153 5079579,3500,30-34,SE,2,2,0,0,0,0,alpinisme,alpinisme,,,sèche,dure,linéaire,accidentelle soi-même,250,15,15
1314-74-07,2014-02-12,15:50,74,le grand bornand,aravis,alps,Aravis,mont lachat de chatillon,"45°57,460' / 6°28.772'",1975,40-44,SE,3,2,0,0,0,1,hors-piste,"off-piste (ski, snowboard)",descente,3,humide,dure,linéaire,accidentelle soi-même,225,15,30
1415-06-02,2014-12-28,11:40,6,saint etienne de tinee,mercantour,alps,Mercantour,secteur cimetière des dames,"44°13'23.3""/6°53'27.7""",2300,40-44,NE,3,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",descente,2,sèche,dure,linéaire,accidentelle soi-même,225,15,30
1011-66-01,2011-03-05,12:50,66,porté puymorens,capcir puymorens,pyrenees,capcir,face NO pic de l'Estagnol,,2300,35-39,NO,2,1,1,0,1,0,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,dure,linéaire,accidentelle tiers,100,15,60
1011-74-07,2010-12-24,15:00,74,Vallorcine,mont blanc,alps,Mont-Blanc,balme,,2175,>45,NE,1,1,0,0,1,0,minage,other,,3,sèche,tendre,linéaire,accidentelle soi-même,75,15,30
1011-74-08,2010-12-26,10:55,74,le reposoir,aravis,alps,Aravis,col de l'encrenaz,,1950,30-34,S,3,1,1,0,1,0,randonnée,hiking,montée,3,sèche,dure,linéaire,accidentelle soi-même,30,15,20
1314-73-15,2014-01-26,16:10,73,tignes,haute tarentaise,alps,Hte-tarent,palet droite Tichat,,2400,30-34,SE,2,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",,3,sèche,dure,linéaire,accidentelle soi-même,10,15,50
1213-73-22,2013-04-01,14:00,73,les allues,vanoise,alps,Vanoise,aiguille du fruit,6°37'49.5'' / 45°21'12.8'',2900,>45,NO,3,2,0,0,0,0,randonnée,hiking,montée,3,sèche,tendre,linéaire,accidentelle soi-même,600,10,
1718-74-06,2018-03-04,14:00,74,vallorcine,mont blanc,alps,Mont-Blanc,posettes,"46°0'55.42"" / 6°56'9.36""",2050,35-39,O,3,1,0,0,0,0,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,tendre,linéaire,accidentelle soi-même,300,10,10
1718-74-07,2018-03-04,16:00,74,vallorcine,mont blanc,alps,Mont-Blanc,posettes,"46°0'55.42"" / 6°56'9.36""",2050,35-39,O,3,1,0,0,0,0,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,tendre,linéaire,accidentelle soi-même,300,10,10
1516-65-02,2016-03-22,17:35,65,bareges,haute bigorre,pyrenees,hte-bigo,entrée vallon dets coubous,"42°53'38.2"" / 0°6'44.11""",1850,>45,O,15,15,0,0,0,3,randonnée,hiking,traversée,2,humide,tendre,linéaire,naturelle,300,10,40
1112-74-07,2012-04-03,15:50,74,chamonix,mont blanc,alps,Mont-Blanc,bec de la cluy,32t 03421505 095500,1900,30-34,NO,2,1,1,0,1,0,randonnée,hiking,,2,humide,tendre,linéaire,naturelle,300,10,
1314-73-13,2014-01-25,13:45,73,presle,belledonne,alps,Belledone,"couloir SO ""intime"" Gargoton","45,41996 / 6,21212",2330,35-39,SO,2,2,1,1,0,1,randonnée,hiking,descente,3,sèche,tendre,linéaire,accidentelle soi-même,250,10,60
1718-38-05,2018-02-14,14:45,38,lavaldens,oisans,alps,Oisans,vallon guillaume,44°56'37.96'' / 5°55'18.8'',2300,30-34,NO,1,1,0,0,0,1,randonnée,hiking,montée,2,sèche,tendre,linéaire,accidentelle soi-même,200,10,30
1314-74-09,2014-03-02,15:30,74,chamonix,mont blanc,alps,Mont-Blanc,aiguille belvedere,32t0335523 / 5094797,2880,35-39,SO,3,1,1,0,1,0,randonnée,hiking,montée,2,humide,,linéaire,accidentelle soi-même,180,10,15
1213-74-03,2013-01-19,13:10,74,abondance,chablais,alps,Chablais,mont de grange,,2100,40-44,O,2,1,0,0,0,0,randonnée,hiking,,3,sèche,tendre,linéaire,accidentelle soi-même,100,10,30
1112-74-04,2012-02-04,11:15,74,mieussy,chablais,alps,Chablais,combe du vélard,32T03116945113758,1780,,NO,4,1,1,0,1,0,hors-piste,"off-piste (ski, snowboard)",,3,sèche,tendre,linéaire,accidentelle soi-même,50,10,15
1314-74-11,2014-03-02,10:30,74,la clusaz,aravis,alps,Aravis,,,,,,2,2,0,0,0,0,randonnée,hiking,montée,,,,linéaire,accidentelle tiers,,10,
1718-65-04,2018-02-13,14:45,65,gavarnie,haute bigorre,pyrenees,hte-bigo,piste gypaete / pic de la Pahule,"42°43'22"" / 0°1'49""",2120,35-39,N,1,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,dure,linéaire,accidentelle soi-même,100,8,30
1112-73-02,2012-02-18,11:05,73,jarsy,bauges,alps,Bauges,face SO mont de la Coche,32T0283745 5060850,1980,30-34,SO,2,1,0,0,0,1,randonnée,hiking,traversée,3,sèche,tendre,linéaire,accidentelle soi-même,250,5,50
1011-05-04,2011-02-26,16:10,5,orcières,champsaur,alps,Champsaur,col combeau / grande autane,32t 0292853 4947510,2100,40-44,N,7,3,0,0,1,2,randonnée,hiking,,3,sèche,tendre,linéaire,naturelle,100,5,30
1112-05-03,2012-03-20,10:00,5,saint crepin,queyras,alps,Queyras,pic beal traversier,,2800,40-44,N,4,1,0,0,0,0,randonnée,hiking,,2,sèche,tendre,linéaire,accidentelle soi-même,50,5,30
1314-05-09,2014-03-02,12:00,5,la salle les alpes,thabor,alps,Thabor,crête echaillon,44.99943 / 6.58156,2560,30-34,NE,7,1,0,0,0,0,randonnée,hiking,descente,,sèche,,linéaire,accidentelle soi-même,,5,30
1011-73-03,2010-12-09,12:37,73,val isère,haute tarentaise,alps,Hte-tarent,charvet couloir des pisteurs,45°25'39.9'' 6°57'13.3'',2650,>45,N,2,2,1,1,1,0,hors-piste,"off-piste (ski, snowboard)",,,sèche,tendre,linéaire,accidentelle soi-même,300,3,100
1415-05-08,2015-02-14,16:00,5,le monetier les bains,pelvoux,alps,Pelvoux,source des fraches,,2200,>45,NO,1,1,0,0,0,1,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,tendre,linéaire,accidentelle soi-même,240,2,15
1415-65-02,2015-02-01,08:15,65,aulon,haute bigorre,pyrenees,hte-bigo,village / couloir La Peyrie,"42°52'10""/0°17'11""",2200,35-39,SE,2,2,0,0,0,2,habitation,other,arrêt,4,sèche,dure,linéaire,naturelle,1000,,
1718-05-05,2018-03-02,17:15,5,la grave,oisans,alps,Oisans,couloir d'orcières,"45°1'24"" / 6°15'33""",2400,40-44,NO,4,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",descente,4,sèche,tendre,linéaire,naturelle,840,,
1718-74-13,2018-04-30,11:00,74,chamonix,mont blanc,alps,Mont-Blanc,glacier rond,"45°52'41.4"" / 6°52'39.6""",3450,>45,NO,4,1,1,0,1,0,randonnée,hiking,arrêt,3,sèche,,linéaire,accidentelle tiers,700,,
1314-09-01,2014-03-29,12:55,9,rabat les trois seigneurs,couserans,pyrenees,couseran,pic des trois seigneurs,,2050,,NE,3,3,2,2,0,0,alpinisme,alpinisme,montée,2,humide,tendre,linéaire,,700,,
1314-74-08,2014-02-25,12:30,74,vallorcine,mont blanc,alps,Mont-Blanc,Mont Buet,32T333730 / 5099285,3040,>45,NE,2,1,1,0,1,0,randonnée,hiking,descente,3,sèche,,linéaire,accidentelle soi-même,650,,
1617-73-18,2017-05-20,18:10,73,sainte foy tarentaise,haute tarentaise,alps,Hte-tarent,face nord pointe des plates des chamois sous point coté 3441 m,"45°32'18.01"" / 6°58'20.03""",3240,>45,N,2,1,0,0,0,0,randonnée,hiking,,,humide,tendre,linéaire,accidentelle soi-même,640,,
1718-65-06,2018-03-03,12:00,65,aragnouet,haute bigorre,pyrenees,hte-bigo,pic de marioules,,,,,5,3,2,2,0,1,randonnée,hiking,,3,,,linéaire,accidentelle soi-même,600,,
1011-73-18,2011-04-01,11:35,73,val isère,haute tarentaise,alps,Hte-tarent,face est de Charvet,,2660,40-44,E,7,1,0,0,1,0,hors-piste,"off-piste (ski, snowboard)",,3,humide,tendre,ponctuel,accidentelle soi-même,600,,
1617-05-14,2017-05-08,12:00,5,vars,queyras,alps,Queyras,couloir nord crête laugier,"44°35'38.38"" / 6°45'29.09""",2950,>45,NE,1,1,0,0,0,0,randonnée,hiking,montée,,humide,tendre,,naturelle,450,,
1112-73-07,2012-04-17,19:00,73,saint martin de belleville,vanoise,alps,Vanoise,mont du borgne,32T 0312336 5019279,2950,40-44,NO,3,1,0,0,0,1,randonnée,hiking,descente,3,sèche,tendre,linéaire,accidentelle soi-même,400,,100
1415-73-20,2015-04-06,,73,saint jean de belleville,vanoise,alps,Vanoise,mont du fut face nord,,2730,,,2,1,0,0,0,0,randonnée,hiking,descente,,sèche,,linéaire,accidentelle soi-même,400,,
1415-73-19,2015-04-06,13:35,73,bourg saint maurice,vanoise,alps,Vanoise,couloir télécabine aiguille rouge,,2700,,,3,1,0,0,0,0,hors-piste,"off-piste (ski, snowboard)",descente,,,,linéaire,accidentelle soi-même,400,,
1718-74-09,2018-03-05,16:30,74,Faverges-Seythenex,bauges,alps,Bauges,sambuy,"45°41'34""/6°15'53""",2060,35-39,NO,1,1,0,0,0,1,randonnée,hiking,descente,,humide,dure,ponctuel,accidentelle soi-même,370,,
1415-64-01,2015-02-17,16:15,64,eaux bonnes,aspe ossau,pyrenees,aspe-ossau,route D918 / ravin des arrious,"42°57'58.4"" / 00°19'41.3""",1690,35-39,SO,5,5,4,4,0,1,randonnée,hiking,traversée,3,humide,tendre,ponctuel,naturelle,365,,
1617-05-05,2017-02-11,11:00,5,val des prés,queyras,alps,Queyras,couloir bois vacher,"44°54'20.75"" / 6°42'14.6""",2270,35-39,O,2,1,0,0,0,1,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,,linéaire,accidentelle soi-même,320,,
1718-73-03,2017-12-15,14:10,73,granier,beaufortain,alps,Beaufortin,la poula face est pointe combe benite,"45°35'26"" / 6°37'4""",2410,40-44,E,2,1,1,1,0,0,randonnée,hiking,descente,3,sèche,,linéaire,accidentelle soi-même,315,,
1415-05-02,2015-01-18,13:00,5,puy saint vincent,pelvoux,alps,Pelvoux,col du bal,,2400,,NE,3,3,2,2,0,0,hors-piste,"off-piste (ski, snowboard)",descente,4,sèche,,linéaire,accidentelle soi-même,300,,
1112-73-04,2012-04-09,11:30,73,pralognan,haute maurienne,alps,Hte-maurie,combe de rosoire,,3200,,NO,7,3,0,0,0,0,randonnée,hiking,,2,sèche,tendre,linéaire,accidentelle soi-même,300,,
1718-73-17,2018-03-04,,73,arêche beaufort,beaufortain,alps,Beaufortin,couloir des grangettes,,,,,4,1,0,0,0,1,hors-piste,"off-piste (ski, snowboard)",descente,,,,linéaire,accidentelle soi-même,300,,
1314-73-11,2014-01-09,12:30,73,valloire,maurienne,alps,Maurienne,crête de lachat,,2840,40-44,NO,3,3,0,0,0,0,randonnée,hiking,montée,3,sèche,dure,linéaire,accidentelle soi-même,290,,
1718-38-14,2018-03-18,11:45,38,sarcenas,chartreuse,alps,Chartreuse,chamechaude couloir folatière,"45°17'12"" / 5°47'14""",2040,35-39,O,4,3,0,0,0,0,randonnée,hiking,descente,2,sèche,,linéaire,accidentelle soi-même,280,,
1617-05-04,2017-02-11,15:55,5,val des prés,queyras,alps,Queyras,couloir ombilic,"44°53'39.24"" / 6°41'57.31""",2350,40-44,N,3,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,,linéaire,accidentelle soi-même,250,,80
1213-74-12,2013-08-13,03:50,74,chamonix,mont blanc,alps,Mont-Blanc,face nord tacul,,4300,40-44,N,6,3,2,2,0,1,alpinisme,alpinisme,,,sèche,dure,linéaire,naturelle sérac/corniche,250,,
1718-06-01,2018-03-02,10:30,6,entraunes,haut var,alps,Ht_Var-Ver,estenc / tête de crépine / cabane garret,"44°15'2"" / 6°44'40""",2280,35-39,E,6,6,5,4,1,1,randonnée,hiking,,4,sèche,tendre,linéaire,,230,,110
1718-65-03,2018-01-09,15:00,65,aragnouet,haute bigorre,pyrenees,hte-bigo,,,1600,,,2,1,1,1,0,0,randonnée,hiking,,3,,,linéaire,accidentelle soi-même,200,,
1011-63-01,2010-11-28,14:00,63,le mont dore,sancy,other,other,puy redon / couloir de l'envers du redon,"45°31'58.0"" 2°48'23""",1725,40-44,NO,2,1,0,0,1,0,randonnée,hiking,descente,,sèche,tendre,linéaire,accidentelle soi-même,200,,
1314-73-07,2013-12-29,16:15,73,aime,vanoise,alps,Vanoise,dos des frasses,32T317154 / 5041892,2200,40-44,NO,1,1,0,0,0,0,hors-piste,"off-piste (ski, snowboard)",descente,,sèche,,linéaire,accidentelle soi-même,200,,
1112-74-09,2012-07-12,05:20,74,chamonix,mont blanc,alps,Mont-Blanc,mont maudit,32t 0334992 5079521,4200,40-44,N,23,23,9,9,0,0,alpinisme,alpinisme,,,sèche,dure,linéaire,naturelle sérac/corniche,200,,
1718-65-08,2018-03-31,15:30,65,ferrère,haute bigorre,pyrenees,hte-bigo,montagne d'areng / couloir le potager du retraité,"42°54'54.60"" / 0°27'54.20""",1900,35-39,N,3,2,1,0,1,1,alpinisme,alpinisme,montée,3,sèche,tendre,linéaire,accidentelle soi-même,185,,
1011-31-01,2011-02-22,,31,Oô,luchonnais,pyrenees,luchonnais,vallon d'esquierry,"42°45'20.8"" 00°27'56.2""",2250,35-39,SE,2,2,2,2,0,0,randonnée,hiking,descente,4,humide,tendre,ponctuel,naturelle,180,,
1718-38-07,2018-02-24,09:30,38,pinsot,belledonne,alps,Belledone,refuge de l'oule,"45°18'38"" / 6°8'17""",2035,35-39,N,2,1,0,0,0,1,randonnée,hiking,,,,,linéaire,accidentelle soi-même,160,,
1314-73-09,2014-01-05,14:00,73,la léchère,beaufortain,alps,Beaufortin,croix de la bagnaz,,2300,,,4,2,0,0,0,0,randonnée,hiking,arrêt,4,sèche,tendre,linéaire,accidentelle soi-même,150,,
1516-73-04,2016-01-09,13:00,73,les allues,vanoise,alps,Vanoise,mont de péclet,,,,,1,1,0,0,0,0,hors-piste,"off-piste (ski, snowboard)",descente,,sèche,,linéaire,accidentelle soi-même,150,,
1011-74-09,2011-03-03,,74,vacheresse,chablais,alps,Chablais,pointe de bénévent,,,,,3,3,0,0,2,1,randonnée,hiking,,3,,,linéaire,accidentelle soi-même,150,,
1011-74-12,2011-06-04,17:25,74,chamonix,mont blanc,alps,Mont-Blanc,aiguille du chardonnet,"45°58'08.5"" / 6°59'51.2""",3650,>45,SO,2,1,1,1,0,0,alpinisme,alpinisme,,,humide,tendre,ponctuel,naturelle,150,,
1314-73-04,2013-12-26,11:00,73,aime,vanoise,alps,Vanoise,dos des frasses,45°30'27.79'' / 6°39'40.68'',2245,35-39,N,2,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,dure,linéaire,accidentelle soi-même,145,,125
1314-73-16,2014-01-26,10:05,73,modane,haute maurienne,alps,Hte-maurie,couloir du seuil valfréjus,32T 316540 / 5003895,2200,35-39,NE,3,2,0,0,0,0,hors-piste,"off-piste (ski, snowboard)",,,sèche,,linéaire,accidentelle soi-même,140,,
1718-65-09,2018-02-23,,65,vieille aure,aure louron,pyrenees,aure_lour,versant sud pic d'aygues cluses,"42°52'15.8"" / 0°10'0.0""",2570,>45,SE,1,1,1,1,0,0,randonnée,hiking,montée,3,sèche,,linéaire,naturelle sérac/corniche,140,,
1718-38-01,2017-12-02,,38,saint christophe sur guiers,chartreuse,alps,Chartreuse,combe de l'ours petit som,"45°23'5"" / 5°48'35""",1670,35-39,SO,2,2,2,2,0,0,randonnée,hiking,montée,,sèche,tendre,linéaire,accidentelle soi-même,125,,
1415-38-05,2015-02-28,10:10,38,saint pierre de chartreuse,charteuse,alps,Chartreuse,combe ouest charmant som,"45°19'37.0""/5°45'41.3""",1690,30-34,O,7,1,1,1,0,0,randonnée,hiking,descente,2,sèche,tendre,linéaire,accidentelle soi-même,105,,10
1011-65-02,2011-05-08,10:00,65,gedre,haute bigorre,pyrenees,hte-bigo,pic de Gabiedou,31T 0262103 4733774,2280,>45,NO,2,1,1,1,0,0,randonnée,hiking,montée,,humide,tendre,linéaire,naturelle,100,,
1213-38-09,2013-04-17,,38,le freney d'oisans,grandes rousses,alps,Gdes-rouss,proche refuge sarenne,,,35-39,S,2,2,1,1,0,1,voie de communication,other,,,humide,dure,linéaire,naturelle,100,,
1011-73-02,2010-11-12,08:20,73,val isère,haute tarentaise,alps,Hte-tarent,RD col Iseran Le Quartz,,2480,,N,5,2,0,1,1,0,voie de communication,other,,,humide,tendre,linéaire,,100,,
1213-73-13,2013-03-02,16:40,73,sainte foy tarentaise,haute tarentaise,alps,Hte-tarent,sous pointe des gavies / ruisseau des gavies,45°35'44.6'' 6°57'20.2'',2200,30-34,N,2,1,0,0,0,1,hors-piste,"off-piste (ski, snowboard)",,3,,tendre,ponctuel,accidentelle soi-même,100,,
1718-38-08,2018-03-02,16:45,38,mont de lans,oisans,alps,Oisans,piste verte bellecombe 1,"44°59'57.6"" / 6°9'15.95""",2430,35-39,NE,1,1,1,1,0,0,piste,"piste (ski, snowboard)",descente,4,sèche,tendre,linéaire,accidentelle tiers,90,,
1516-05-03,2016-02-23,13:00,5,ceillac,queyras,alps,Queyras,vallon ste anne,"44°37'14.6"" / 6°48'6.45""",2520,35-39,NE,20,3,1,1,0,0,randonnée,hiking,descente,3,humide,tendre,linéaire,accidentelle soi-même,80,,60
1718-65-02,2018-01-09,13:30,65,cauterets,haute bigorre,pyrenees,hte-bigo,cascade ilhéou,"42°52'10"" / 0°9'46""",1790,30-34,N,2,1,0,0,0,1,randonnée,hiking,descente,3,sèche,dure,linéaire,accidentelle soi-même,60,,30
1718-15-01,2017-12-16,,15,laveissière,lioran,other,other,fond alagnon,"45°5'33"" / 2°43'3""",1530,35-39,SE,1,1,1,0,1,0,randonnée,hiking,descente,,humide,tendre,linéaire,accidentelle soi-même,50,,
1718-38-02,2017-12-02,,38,saint pancrasse,chartreuse,alps,Chartreuse,pas de l'oeille dent de crolles,"45°18'31"" / 5°51'8""",1910,40-44,SO,1,1,0,0,0,0,randonnée,hiking,descente,,sèche,tendre,linéaire,accidentelle soi-même,50,,
1415-09-01,2015-01-18,13:00,9,auzat,haute ariege,pyrenees,hte-ariege,secteur etang du pinet,"42°40'59.1"" / 1°23'25.4""",2440,35-39,NO,2,1,1,1,0,0,alpinisme,alpinisme,traversée,3,sèche,tendre,linéaire,accidentelle soi-même,50,,
1617-38-02,2017-02-12,14:00,38,st christophe sur guiers,chartreuse,alps,Chartreuse,pas du loup,31T719513 / 5029285,1400,30-34,SO,2,1,0,0,0,0,randonnée,hiking,descente,2,humide,tendre,ponctuel,accidentelle soi-même,50,,
1718-74-03,2018-03-03,14:05,74,le grand bornand,aravis,alps,Aravis,refuge gramusset,,1800,40-44,SE,6,6,0,0,0,6,randonnée,hiking,montée,3,sèche,dure,linéaire,accidentelle soi-même,40,,
1112-74-01,2012-01-21,10:00,74,praz sur arly,mont blanc,alps,Mont-Blanc,crêt du midi,,1780,>45,NE,3,1,0,0,0,1,minage,other,,4,sèche,tendre,linéaire,accidentelle soi-même,25,,40
1617-05-02,2017-01-29,11:40,5,ceillac,queyras,alps,Queyras,col des ugousses,,,,,2,2,0,0,0,0,randonnée,hiking,,2,,,linéaire,accidentelle soi-même,,,
1718-73-15,2018-03-03,13:35,73,arêche beaufor,beaufortain,alps,Beaufortin,lac tournant,,2000,30-34,N,,2,1,0,1,1,randonnée,hiking,descente,3,humide,tendre,linéaire,accidentelle soi-même,,,
1718-05-03,2018-02-17,,5,villard d'arene,oisans,alps,Oisans,couloir express col roc noir combeynot,,,,,1,1,0,0,0,1,randonnée,hiking,descente,,humide,tendre,linéaire,accidentelle soi-même,,,
1314-73-20,2014-03-19,14:50,73,bourg st maurice,vanoise,alps,Vanoise,face ouest aiguille rouge grande cascade,,,,NO,1,1,0,0,0,0,hors-piste,"off-piste (ski, snowboard)",montée,3,humide,tendre,linéaire,accidentelle soi-même,,,40
1617-73-04,2017-01-14,13:00,73,saint bon tarentaise,vanoise,alps,Vanoise,saulire,,,,,,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,,linéaire,accidentelle soi-même,,,
1617-73-12,2017-03-03,14:25,73,villaroger,vanoise,alps,Vanoise,combe des lanchettes,,2300,,,7,5,0,0,0,0,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,,linéaire,accidentelle soi-même,,,
1213-38-06,2013-03-19,11:45,38,La Ferrière,belledonne,alps,Belledone,secteur le pleynet F9,,1850,,,1,1,1,0,1,0,hors-piste,"off-piste (ski, snowboard)",descente,4,sèche,,linéaire,accidentelle soi-même,,,
1314-09-02,2014-03-06,10:30,9,ax les thermes,haute ariège,pyrenees,hte-ariege,station le saquet,,,,,4,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",descente,4,sèche,,linéaire,accidentelle soi-même,,,
